,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(53.4k Reviews),Public,"Mumbai,Maharashtra + 275 more",55 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(33.8k Reviews),Public,Dublin + 133 more,34 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(31.1k Reviews),Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(35.1k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(41.3k Reviews),Public,"Mumbai,Maharashtra + 1295 more",29 years old,50k-1 Lakh Employees (India)
5,Wipro,3.9,(30.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(29.7k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 127 more",42 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(25.1k Reviews),Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,(22.6k Reviews),Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(20.3k Reviews),Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
10,HCLTech,3.8,(19.5k Reviews),Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
11,Amazon,4.2,(19.9k Reviews),Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(19.4k Reviews),Public,"Mumbai,Maharashtra + 1124 more",30 years old,50k-1 Lakh Employees (India)
13,Concentrix Corpo...,4.0,(15.6k Reviews),Public,"Fremont,California + 70 more",40 years old,10k-50k Employees (India)
14,IBM,4.2,(15.8k Reviews),Public,"Armonk,New York + 121 more",112 years old,1 Lakh+ Employees (India)
15,Reliance Jio,4.0,(15.4k Reviews),Public,"Navi Mumbai,Maharashtra + 1021 more",16 years old,50k-1 Lakh Employees (India)
16,Larsen & Toubro ...,4.1,(25.1k Reviews),Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
17,HDB Financial Se...,4.0,(13.9k Reviews),Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
18,Vodafone Idea,4.2,(13.5k Reviews),Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
